Name,Team,Position,Cost,Creativity,Influence,Threat,Goals_conceded,Goals_scored,Assists,Own_goals,Yellow_cards,Red_cards,TSB,Minutes,Bonus,points
Aguero,MCI,FWD,112.92,2371.6,3341,6296,44,71,45,0,9,0,46.49,7561,78,679
Ake,BOU,DEF,50,189,2854.8,1106,163,12,3,0,5,0,4.58,10192,43,397
Albrighton,LEI,MID,53,1484,1382,822,84,10,18,0,9,1,0.64,5052,12,254
Alderweireld,TOT,DEF,59.17,341.8,1538.4,338,71,0,0,0,8,0,2.82,6847,8,252
Alexander-Arnold,LIV,DEF,50.58,1463.9,1455,809,37,1,10,0,34,0,18.28,7557,26,414
Alli,TOT,MID,89.83,1374.6,1923.2,2862,74,20,23,0,7,0,3.91,6565,34,382
Alonso,CHE,DEF,68.33,2039.4,2550.2,2243,83,17,55,0,15,0,39.36,9655,113,754
Amartey,LEI,MID,44.67,324.5,947.2,144,60,0,0,0,16,1,0.28,4681,0,114
Ampadu,CHE,MID,44.25,0,7.4,0,1,0,0,0,0,0,0.07,10,0,1
Andone,BHA,FWD,50,0.7,6.6,0,1,0,0,0,0,0,0.09,53,0,3
Antonio,WHU,MID,68.58,864.8,767.8,2341,80,3,5,0,12,0,1.27,4667,1,179
Armstrong,SOU,MID,52.5,485,164.2,198,24,0,0,0,0,0,0.14,1249,0,53
Arnautovic,WHU,FWD,70.08,1643.5,2376.4,3882,150,47,17,0,14,1,18.37,7401,68,487
Arter,BOU,MID,49.42,469.7,712.8,391,118,1,0,0,40,0,0.25,6045,0,125
Atsu,NEW,MID,52.83,737.3,571.4,557,39,2,4,0,4,0,0.11,3090,5,123
Aubameyang,ARS,FWD,108.83,1343.6,2168.6,2515,101,47,17,0,0,0,14.49,6675,70,475
Aurier,TOT,DEF,58.67,488,746.8,257,24,2,13,0,1,1,0.82,2609,9,147
Austin,SOU,FWD,56.83,483.5,621.6,1750,46,7,1,0,2,0,0.84,3914,9,139
Ayite,FUL,MID,44.08,31.5,50.6,64,14,0,0,0,0,0,0.12,647,0,25
Azpilicueta,CHE,DEF,64.08,2017.8,2557.4,627,91,2,16,1,1,0,11.81,10130,28,489
